"Package","Version Installed","Vulnerability ID","Severity"
"libsystemd0","245.4-4ubuntu3.24","CVE-2023-26604","Low"
"libudev1","245.4-4ubuntu3.24","CVE-2023-26604","Low"
"login","1:4.8.1-1ubuntu5.20.04.5","CVE-2024-56433","Low"
"passwd","1:4.8.1-1ubuntu5.20.04.5","CVE-2024-56433","Low"
"libgcrypt20","1.8.5-5ubuntu1.1","CVE-2024-2236","Low"
"libsystemd0","245.4-4ubuntu3.24","CVE-2023-7008","Low"
"libudev1","245.4-4ubuntu3.24","CVE-2023-7008","Low"
"libtasn1-6","4.16.0-2ubuntu0.1","CVE-2021-46848","Low"
"gcc-10-base","10.5.0-1ubuntu1~20.04","CVE-2023-4039","Low"
"libgcc-s1","10.5.0-1ubuntu1~20.04","CVE-2023-4039","Low"
"libstdc++6","10.5.0-1ubuntu1~20.04","CVE-2023-4039","Low"
"coreutils","8.30-3ubuntu2","CVE-2016-2781","Low"
"libsystemd0","245.4-4ubuntu3.24","CVE-2025-4598","Medium"
"libudev1","245.4-4ubuntu3.24","CVE-2025-4598","Medium"
"login","1:4.8.1-1ubuntu5.20.04.5","CVE-2013-4235","Low"
"passwd","1:4.8.1-1ubuntu5.20.04.5","CVE-2013-4235","Low"
"libpcre2-8-0","10.34-7ubuntu0.1","CVE-2022-41409","Low"
"libpam-modules","1.3.1-5ubuntu4.7","CVE-2024-10041","Medium"
"libpam-modules-bin","1.3.1-5ubuntu4.7","CVE-2024-10041","Medium"
"libpam-runtime","1.3.1-5ubuntu4.7","CVE-2024-10041","Medium"
"libpam0g","1.3.1-5ubuntu4.7","CVE-2024-10041","Medium"
"libncurses6","6.2-0ubuntu2.1","CVE-2023-50495","Low"
"libncursesw6","6.2-0ubuntu2.1","CVE-2023-50495","Low"
"libtinfo6","6.2-0ubuntu2.1","CVE-2023-50495","Low"
"ncurses-base","6.2-0ubuntu2.1","CVE-2023-50495","Low"
"ncurses-bin","6.2-0ubuntu2.1","CVE-2023-50495","Low"
"libpcre3","2:8.39-12ubuntu0.1","CVE-2017-11164","Negligible"
"libc-bin","2.31-0ubuntu9.18","CVE-2016-20013","Negligible"
"libc6","2.31-0ubuntu9.18","CVE-2016-20013","Negligible"
"login","1:4.8.1-1ubuntu5.20.04.5","CVE-2023-29383","Low"
"passwd","1:4.8.1-1ubuntu5.20.04.5","CVE-2023-29383","Low"
"coreutils","8.30-3ubuntu2","CVE-2025-5278","Low"
"gpgv","2.2.19-3ubuntu2.5","CVE-2022-3219","Low"
"perl-base","5.30.0-9ubuntu0.5","CVE-2025-40909","Medium"
"gcc-10-base","10.5.0-1ubuntu1~20.04","CVE-2020-35537","Low"
"libgcc-s1","10.5.0-1ubuntu1~20.04","CVE-2020-35537","Low"
"libncurses6","6.2-0ubuntu2.1","CVE-2023-45918","Low"
"libncursesw6","6.2-0ubuntu2.1","CVE-2023-45918","Low"
"libsqlite3-0","3.31.1-4ubuntu0.7","CVE-2023-36191","Low"
"libstdc++6","10.5.0-1ubuntu1~20.04","CVE-2020-35537","Low"
"libtinfo6","6.2-0ubuntu2.1","CVE-2023-45918","Low"
"ncurses-base","6.2-0ubuntu2.1","CVE-2023-45918","Low"
"ncurses-bin","6.2-0ubuntu2.1","CVE-2023-45918","Low"
