"Package","Version Installed","Vulnerability ID","Severity"
"curl","8.5.0-2ubuntu10.13","CVE-2026-19931","Medium"
"libcurl4t64","8.5.0-2ubuntu10.13","CVE-2026-19931","Medium"
"curl","8.5.0-2ubuntu10.13","CVE-2026-18924","Medium"
"libcurl4t64","8.5.0-2ubuntu10.13","CVE-2026-18924","Medium"
"curl","8.5.0-2ubuntu10.13","CVE-2026-13608","Medium"
"libcurl4t64","8.5.0-2ubuntu10.13","CVE-2026-13608","Medium"
"curl","8.5.0-2ubuntu10.13","CVE-2026-80230","Medium"
"libcurl4t64","8.5.0-2ubuntu10.13","CVE-2026-80230","Medium"
"curl","8.5.0-2ubuntu10.13","CVE-2026-82209","Medium"
"libcurl4t64","8.5.0-2ubuntu10.13","CVE-2026-82209","Medium"
"zlib1g","1:1.3.dfsg-3.1ubuntu2.2","CVE-2026-85091","Medium"
"perl-base","5.38.2-3.2ubuntu0.4","CVE-2026-19487","Medium"
"libpcre2-8-0","10.42-4ubuntu2.1","CVE-2026-86145","Medium"
"libpam-modules","1.5.3-5ubuntu5.7","CVE-2024-10041","Medium"
"libpam-modules-bin","1.5.3-5ubuntu5.7","CVE-2024-10041","Medium"
"libpam-runtime","1.5.3-5ubuntu5.7","CVE-2024-10041","Medium"
"libpam0g","1.5.3-5ubuntu5.7","CVE-2024-10041","Medium"
"coreutils","9.4-3ubuntu6.3","CVE-2016-2781","Low"
"login","1:4.13+dfsg1-4ubuntu3.2","CVE-2024-56433","Low"
"passwd","1:4.13+dfsg1-4ubuntu3.2","CVE-2024-56433","Low"
"libc-bin","2.39-0ubuntu8.9","CVE-2026-89092","Medium"
"libc6","2.39-0ubuntu8.9","CVE-2026-89092","Medium"
"libpcre2-8-0","10.42-4ubuntu2.1","CVE-2026-89156","Medium"
"libc-bin","2.39-0ubuntu8.9","CVE-2016-20013","Negligible"
"libc6","2.39-0ubuntu8.9","CVE-2016-20013","Negligible"
"libpcre2-8-0","10.42-4ubuntu2.1","CVE-2026-89158","Medium"
"libpcre2-8-0","10.42-4ubuntu2.1","CVE-2026-89157","Medium"
"libpcre2-8-0","10.42-4ubuntu2.1","CVE-2026-89160","Medium"
"bsdutils","1:2.39.3-9ubuntu6.6","CVE-2026-76642","Medium"
"libblkid1","2.39.3-9ubuntu6.6","CVE-2026-76642","Medium"
"libmount1","2.39.3-9ubuntu6.6","CVE-2026-76642","Medium"
"libsmartcols1","2.39.3-9ubuntu6.6","CVE-2026-76642","Medium"
"libuuid1","2.39.3-9ubuntu6.6","CVE-2026-76642","Medium"
"mount","2.39.3-9ubuntu6.6","CVE-2026-76642","Medium"
"util-linux","2.39.3-9ubuntu6.6","CVE-2026-76642","Medium"
"gpgv","2.4.4-2ubuntu17.6","CVE-2022-3219","Low"
"perl-base","5.38.2-3.2ubuntu0.4","CVE-2026-15534","Medium"
"libacl1","2.3.2-1build1.1","CVE-2026-54369","Medium"
"libc-bin","2.39-0ubuntu8.9","CVE-2026-18374","Medium"
"libc6","2.39-0ubuntu8.9","CVE-2026-18374","Medium"
"tar","1.35+dfsg-3ubuntu0.4","CVE-2026-18508","Medium"
"bsdutils","1:2.39.3-9ubuntu6.6","CVE-2026-78409","Medium"
"libblkid1","2.39.3-9ubuntu6.6","CVE-2026-78409","Medium"
"libmount1","2.39.3-9ubuntu6.6","CVE-2026-78409","Medium"
"libsmartcols1","2.39.3-9ubuntu6.6","CVE-2026-78409","Medium"
"libuuid1","2.39.3-9ubuntu6.6","CVE-2026-78409","Medium"
"mount","2.39.3-9ubuntu6.6","CVE-2026-78409","Medium"
"util-linux","2.39.3-9ubuntu6.6","CVE-2026-78409","Medium"
"libpcre2-8-0","10.42-4ubuntu2.1","CVE-2026-89161","Medium"
"bsdutils","1:2.39.3-9ubuntu6.6","CVE-2026-78408","Medium"
"libblkid1","2.39.3-9ubuntu6.6","CVE-2026-78408","Medium"
"libmount1","2.39.3-9ubuntu6.6","CVE-2026-78408","Medium"
"libsmartcols1","2.39.3-9ubuntu6.6","CVE-2026-78408","Medium"
"libuuid1","2.39.3-9ubuntu6.6","CVE-2026-78408","Medium"
"mount","2.39.3-9ubuntu6.6","CVE-2026-78408","Medium"
"util-linux","2.39.3-9ubuntu6.6","CVE-2026-78408","Medium"
"libpcre2-8-0","10.42-4ubuntu2.1","CVE-2026-89162","Medium"
"libsystemd0","255.4-1ubuntu8.17","CVE-2026-40228","Low"
"libudev1","255.4-1ubuntu8.17","CVE-2026-40228","Low"
"bsdutils","1:2.39.3-9ubuntu6.6","CVE-2026-78410","Medium"
"libblkid1","2.39.3-9ubuntu6.6","CVE-2026-78410","Medium"
"libmount1","2.39.3-9ubuntu6.6","CVE-2026-78410","Medium"
"libsmartcols1","2.39.3-9ubuntu6.6","CVE-2026-78410","Medium"
"libuuid1","2.39.3-9ubuntu6.6","CVE-2026-78410","Medium"
"mount","2.39.3-9ubuntu6.6","CVE-2026-78410","Medium"
"util-linux","2.39.3-9ubuntu6.6","CVE-2026-78410","Medium"
"libacl1","2.3.2-1build1.1","CVE-2026-54370","Medium"
"tar","1.35+dfsg-3ubuntu0.4","CVE-2026-18477","Medium"
