"Package","Version Installed","Vulnerability ID","Severity"
"sudo","1.8.9p5-1ubuntu1.4","CVE-2021-3156","High"
"libc-bin","2.19-0ubuntu6.15","CVE-2023-4911","High"
"libc6","2.19-0ubuntu6.15","CVE-2023-4911","High"
"multiarch-support","2.19-0ubuntu6.15","CVE-2023-4911","High"
"libssl1.0.0","1.0.1f-1ubuntu2.27","CVE-2022-3602","High"
"openssl","1.0.1f-1ubuntu2.27","CVE-2022-3602","High"
"libssl1.0.0","1.0.1f-1ubuntu2.27","CVE-2023-0286","High"
"openssl","1.0.1f-1ubuntu2.27","CVE-2023-0286","High"
"zlib1g","1:1.2.8.dfsg-1ubuntu1.1","CVE-2022-37434","Medium"
"libpython3.4-minimal","3.4.3-1ubuntu1~14.04.7","CVE-2007-4559","Medium"
"libpython3.4-stdlib","3.4.3-1ubuntu1~14.04.7","CVE-2007-4559","Medium"
"python3.4","3.4.3-1ubuntu1~14.04.7","CVE-2007-4559","Medium"
"python3.4-minimal","3.4.3-1ubuntu1~14.04.7","CVE-2007-4559","Medium"
"libssl1.0.0","1.0.1f-1ubuntu2.27","CVE-2023-2650","Medium"
"openssl","1.0.1f-1ubuntu2.27","CVE-2023-2650","Medium"
"sudo","1.8.9p5-1ubuntu1.4","CVE-2019-14287","Medium"
"libssl1.0.0","1.0.1f-1ubuntu2.27","CVE-2020-1967","High"
"openssl","1.0.1f-1ubuntu2.27","CVE-2020-1967","High"
"libldap-2.4-2","2.4.31-1+nmu2ubuntu8.5","CVE-2020-36228","Medium"
"libsqlite3-0","3.8.2-1ubuntu2.2","CVE-2022-35737","Medium"
"libldap-2.4-2","2.4.31-1+nmu2ubuntu8.5","CVE-2020-36227","Medium"
"vim-common","2:7.4.052-1ubuntu3.1","CVE-2019-12735","Medium"
"vim-tiny","2:7.4.052-1ubuntu3.1","CVE-2019-12735","Medium"
"sudo","1.8.9p5-1ubuntu1.4","CVE-2019-18634","Low"
