"Package","Version Installed","Vulnerability ID","Severity"
"libc-bin","2.23-0ubuntu11.3","CVE-2023-4911","High"
"libc6","2.23-0ubuntu11.3","CVE-2023-4911","High"
"multiarch-support","2.23-0ubuntu11.3","CVE-2023-4911","High"
"zlib1g","1:1.2.8.dfsg-2ubuntu4.3","CVE-2022-37434","Medium"
"libsqlite3-0","3.11.0-1ubuntu1.5","CVE-2022-35737","Medium"
"curl","7.47.0-1ubuntu2.19","CVE-2023-38545","High"
"libcurl3-gnutls","7.47.0-1ubuntu2.19","CVE-2023-38545","High"
"libc-bin","2.23-0ubuntu11.3","CVE-2023-6246","Medium"
"libc6","2.23-0ubuntu11.3","CVE-2023-6246","Medium"
"multiarch-support","2.23-0ubuntu11.3","CVE-2023-6246","Medium"
"bash","4.3-14ubuntu1.4","CVE-2019-18276","Low"
"curl","7.47.0-1ubuntu2.19","CVE-2023-38039","Medium"
"libcurl3-gnutls","7.47.0-1ubuntu2.19","CVE-2023-38039","Medium"
"libasn1-8-heimdal","1.7~git20150920+dfsg-4ubuntu1.16.04.1","CVE-2022-42898","Medium"
"libgssapi-krb5-2","1.13.2+dfsg-5ubuntu2.2","CVE-2022-42898","Medium"
"libgssapi3-heimdal","1.7~git20150920+dfsg-4ubuntu1.16.04.1","CVE-2022-42898","Medium"
"libhcrypto4-heimdal","1.7~git20150920+dfsg-4ubuntu1.16.04.1","CVE-2022-42898","Medium"
"libheimbase1-heimdal","1.7~git20150920+dfsg-4ubuntu1.16.04.1","CVE-2022-42898","Medium"
"libheimntlm0-heimdal","1.7~git20150920+dfsg-4ubuntu1.16.04.1","CVE-2022-42898","Medium"
"libhx509-5-heimdal","1.7~git20150920+dfsg-4ubuntu1.16.04.1","CVE-2022-42898","Medium"
"libk5crypto3","1.13.2+dfsg-5ubuntu2.2","CVE-2022-42898","Medium"
"libkrb5-26-heimdal","1.7~git20150920+dfsg-4ubuntu1.16.04.1","CVE-2022-42898","Medium"
"libkrb5-3","1.13.2+dfsg-5ubuntu2.2","CVE-2022-42898","Medium"
"libkrb5support0","1.13.2+dfsg-5ubuntu2.2","CVE-2022-42898","Medium"
"libroken18-heimdal","1.7~git20150920+dfsg-4ubuntu1.16.04.1","CVE-2022-42898","Medium"
"libwind0-heimdal","1.7~git20150920+dfsg-4ubuntu1.16.04.1","CVE-2022-42898","Medium"
"libsqlite3-0","3.11.0-1ubuntu1.5","CVE-2021-31239","Medium"
"libncurses5","6.0+20160213-1ubuntu1","CVE-2020-19188","Medium"
"libncursesw5","6.0+20160213-1ubuntu1","CVE-2020-19188","Medium"
"libtinfo5","6.0+20160213-1ubuntu1","CVE-2020-19188","Medium"
"ncurses-base","6.0+20160213-1ubuntu1","CVE-2020-19188","Medium"
"ncurses-bin","6.0+20160213-1ubuntu1","CVE-2020-19188","Medium"
"perl-base","5.22.1-9ubuntu0.9","CVE-2022-48522","Low"
"libgssapi-krb5-2","1.13.2+dfsg-5ubuntu2.2","CVE-2021-36222","Medium"
"libk5crypto3","1.13.2+dfsg-5ubuntu2.2","CVE-2021-36222","Medium"
"libkrb5-3","1.13.2+dfsg-5ubuntu2.2","CVE-2021-36222","Medium"
"libkrb5support0","1.13.2+dfsg-5ubuntu2.2","CVE-2021-36222","Medium"
"libncurses5","6.0+20160213-1ubuntu1","CVE-2020-19185","Medium"
"libncurses5","6.0+20160213-1ubuntu1","CVE-2020-19186","Medium"
"libncursesw5","6.0+20160213-1ubuntu1","CVE-2020-19185","Medium"
